
Label=dB(V(V_filt)) vs 2*PI*F
LabelX=2*PI*F
LabelY=dB(V(V_filt))
Data Point Count=1001
F,2*PI*F,2*PI*F,dB(V(V_filt)),dB(V(V_filt))
 4.3173598837665992E+001, 2.7126772187488865E+002, 0.0000000000000000E+000,-5.2100409256805646E-002, 0.0000000000000000E+000
 4.3490494231416562E+001, 2.7325883435681510E+002, 0.0000000000000000E+000,-5.2861366651419946E-002, 0.0000000000000000E+000
 4.3809715646005884E+001, 2.7526456165869979E+002, 0.0000000000000000E+000,-5.3633508681663014E-002, 0.0000000000000000E+000
 4.4131280154490398E+001, 2.7728501105372015E+002, 0.0000000000000000E+000,-5.4416999333994714E-002, 0.0000000000000000E+000
 4.4455204955243239E+001, 2.7932029060244145E+002, 0.0000000000000000E+000,-5.5212004987261074E-002, 0.0000000000000000E+000
 4.4781507372874074E+001, 2.8137050915859669E+002, 0.0000000000000000E+000,-5.6018694447062978E-002, 0.0000000000000000E+000
 4.5110204859155672E+001, 2.8343577637490807E+002, 0.0000000000000000E+000,-5.6837238980873839E-002, 0.0000000000000000E+000
 4.5441314993957299E+001, 2.8551620270895194E+002, 0.0000000000000000E+000,-5.7667812353631595E-002, 0.0000000000000000E+000
 4.5774855486184940E+001, 2.8761189942906611E+002, 0.0000000000000000E+000,-5.8510590863591345E-002, 0.0000000000000000E+000
 4.6110844174728427E+001, 2.8972297862030109E+002, 0.0000000000000000E+000,-5.9365753379101799E-002, 0.0000000000000000E+000
 4.6449299029415535E+001, 2.9184955319041472E+002, 0.0000000000000000E+000,-6.0233481375406982E-002, 0.0000000000000000E+000
 4.6790238151973064E+001, 2.9399173687591087E+002, 0.0000000000000000E+000,-6.1113958972366364E-002, 0.0000000000000000E+000
