
Label=ph(V(V_filt)) vs 2*PI*F
LabelX=2*PI*F
LabelY=ph(V(V_filt))
Data Point Count=1001
F,2*PI*F,2*PI*F,ph(V(V_filt)),ph(V(V_filt))
 1.2917045639617648E+001, 8.1160191375013738E+001, 0.0000000000000000E+000,-4.1860121205224248E+000, 0.0000000000000000E+000
 1.3011857107140933E+001, 8.1755909394708183E+001, 0.0000000000000000E+000,-4.2167331461681208E+000, 0.0000000000000000E+000
 1.3107364493423409E+001, 8.2356000000925363E+001, 0.0000000000000000E+000,-4.2476795670068093E+000, 0.0000000000000000E+000
 1.3203572906527759E+001, 8.2960495288569675E+001, 0.0000000000000000E+000,-4.2788530352727374E+000, 0.0000000000000000E+000
 1.3300487492009989E+001, 8.3569427588123020E+001, 0.0000000000000000E+000,-4.3102552152794251E+000, 0.0000000000000000E+000
 1.3398113433194624E+001, 8.4182829467373907E+001, 0.0000000000000000E+000,-4.3418877835072571E+000, 0.0000000000000000E+000
 1.3496455951451935E+001, 8.4800733733159277E+001, 0.0000000000000000E+000,-4.3737524286917138E+000, 0.0000000000000000E+000
 1.3595520306477193E+001, 8.5423173433119203E+001, 0.0000000000000000E+000,-4.4058508519121764E+000, 0.0000000000000000E+000
 1.3695311796571973E+001, 8.6050181857464281E+001, 0.0000000000000000E+000,-4.4381847666814336E+000, 0.0000000000000000E+000
 1.3795835758927531E+001, 8.6681792540756192E+001, 0.0000000000000000E+000,-4.4707558990357379E+000, 0.0000000000000000E+000
 1.3897097569910251E+001, 8.7318039263701223E+001, 0.0000000000000000E+000,-4.5035659876255671E+000, 0.0000000000000000E+000
 1.3999102645349195E+001, 8.7958956054956943E+001, 0.0000000000000000E+000,-4.5366167838069718E+000, 0.0000000000000000E+000
 1.4101856440825756E+001, 8.8604577192952206E+001, 0.0000000000000000E+000,-4.5699100517336060E+000, 0.0000000000000000E+000
 1.4205364451965442E+001, 8.9254937207720459E+001, 0.0000000000000000E+000,-4.6034475684493916E+000, 0.0000000000000000E+000
 1.4309632214731806E+001, 8.9910070882746567E+001, 0.0000000000000000E+000,-4.6372311239818043E+000, 0.0000000000000000E+000
 1.4414665305722524E+001, 9.0570013256827096E+001, 0.0000000000000000E+000,-4.6712625214358932E+000, 0.0000000000000000E+000
 1.4520469342467647E+001, 9.1234799625944348E+001, 0.0000000000000000E+000,-4.7055435770888678E+000, 0.0000000000000000E+000
 1.4627049983730055E+001, 9.1904465545154082E+001, 0.0000000000000000E+000,-4.7400761204854165E+000, 0.0000000000000000E+000
 1.4734412929808098E+001, 9.2579046830487158E+001, 0.0000000000000000E+000,-4.7748619945336666E+000, 0.0000000000000000E+000
 1.4842563922840474E+001, 9.3258579560865073E+001, 0.0000000000000000E+000,-4.8099030556018088E+000, 0.0000000000000000E+000
 1.4951508747113335E+001, 9.3943100080029566E+001, 0.0000000000000000E+000,-4.8452011736154335E+000, 0.0000000000000000E+000
 1.5061253229369653E+001, 9.4632644998486498E+001, 0.0000000000000000E+000,-4.8807582321555172E+000, 0.0000000000000000E+000
 1.5171803239120848E+001, 9.5327251195463774E+001, 0.0000000000000000E+000,-4.9165761285570815E+000, 0.0000000000000000E+000
 1.5283164688960717E+001, 9.6026955820883842E+001, 0.0000000000000000E+000,-4.9526567740086183E+000, 0.0000000000000000E+000
 1.5395343534881658E+001, 9.6731796297350670E+001, 0.0000000000000000E+000,-4.9890020936520996E+000, 0.0000000000000000E+000
 1.5508345776593211E+001, 9.7441810322151056E+001, 0.0000000000000000E+000,-5.0256140266837708E+000, 0.0000000000000000E+000
 1.5622177457842955E+001, 9.8157035869270999E+001, 0.0000000000000000E+000,-5.0624945264556169E+000, 0.0000000000000000E+000
 1.5736844666739735E+001, 9.8877511191426535E+001, 0.0000000000000000E+000,-5.0996455605775264E+000, 0.0000000000000000E+000
 1.5852353536079283E+001, 9.9603274822109711E+001, 0.0000000000000000E+000,-5.1370691110201916E+000, 0.0000000000000000E+000
 1.5968710243672220E+001, 1.0033436557764944E+002, 0.0000000000000000E+000,-5.1747671742187027E+000, 0.0000000000000000E+000
