
Label=phase_vs_2_pi_freq
LabelX=2*PI*F
LabelY=ph(v(V_out))
Data Point Count=1001
F,2*PI*F,2*PI*F,ph(v(V_out)),ph(v(V_out))
 1.3242030680669504E+002, 8.3202132610003923E+002, 0.0000000000000000E+000,-2.7389689746943262E+001, 0.0000000000000000E+000
 1.3312377356735772E+002, 8.3644133811472420E+002, 0.0000000000000000E+000,-2.7535105195632216E+001, 0.0000000000000000E+000
 1.3383097740955489E+002, 8.4088483090519844E+002, 0.0000000000000000E+000,-2.7681291771702842E+001, 0.0000000000000000E+000
 1.3454193818607729E+002, 8.4535192921022497E+002, 0.0000000000000000E+000,-2.7828253551000799E+001, 0.0000000000000000E+000
 1.3525667585518119E+002, 8.4984275843122634E+002, 0.0000000000000000E+000,-2.7975994630727815E+001, 0.0000000000000000E+000
 1.3597521048114865E+002, 8.5435744463580488E+002, 0.0000000000000000E+000,-2.8124519129552493E+001, 0.0000000000000000E+000
 1.3669756223485086E+002, 8.5889611456128205E+002, 0.0000000000000000E+000,-2.8273831187719974E+001, 0.0000000000000000E+000
 1.3742375139431425E+002, 8.6345889561825550E+002, 0.0000000000000000E+000,-2.8423934967163355E+001, 0.0000000000000000E+000
 1.3815379834528977E+002, 8.6804591589417612E+002, 0.0000000000000000E+000,-2.8574834651614662E+001, 0.0000000000000000E+000
 1.3888772358182527E+002, 8.7265730415694429E+002, 0.0000000000000000E+000,-2.8726534446715977E+001, 0.0000000000000000E+000
 1.3962554770684068E+002, 8.7729318985852376E+002, 0.0000000000000000E+000,-2.8879038580133319E+001, 0.0000000000000000E+000
 1.4036729143270642E+002, 8.8195370313857597E+002, 0.0000000000000000E+000,-2.9032351301668484E+001, 0.0000000000000000E+000
 1.4111297558182491E+002, 8.8663897482811399E+002, 0.0000000000000000E+000,-2.9186476883373167E+001, 0.0000000000000000E+000
 1.4186262108721502E+002, 8.9134913645317431E+002, 0.0000000000000000E+000,-2.9341419619662933E+001, 0.0000000000000000E+000
 1.4261624899309973E+002, 8.9608432023850969E+002, 0.0000000000000000E+000,-2.9497183827431378E+001, 0.0000000000000000E+000
 1.4337388045549690E+002, 9.0084465911130053E+002, 0.0000000000000000E+000,-2.9653773846166576E+001, 0.0000000000000000E+000
 1.4413553674281317E+002, 9.0563028670488711E+002, 0.0000000000000000E+000,-2.9811194038066059E+001, 0.0000000000000000E+000
 1.4490123923644097E+002, 9.1044133736252013E+002, 0.0000000000000000E+000,-2.9969448788153553E+001, 0.0000000000000000E+000
 1.4567100943135878E+002, 9.1527794614113247E+002, 0.0000000000000000E+000,-3.0128542504395064E+001, 0.0000000000000000E+000
 1.4644486893673459E+002, 9.2014024881513103E+002, 0.0000000000000000E+000,-3.0288479617818595E+001, 0.0000000000000000E+000
 1.4722283947653241E+002, 9.2502838188020723E+002, 0.0000000000000000E+000,-3.0449264582630263E+001, 0.0000000000000000E+000
 1.4800494289012215E+002, 9.2994248255716923E+002, 0.0000000000000000E+000,-3.0610901876334012E+001, 0.0000000000000000E+000
 1.4879120113289278E+002, 9.3488268879579448E+002, 0.0000000000000000E+000,-3.0773395999850877E+001, 0.0000000000000000E+000
 1.4958163627686855E+002, 9.3984913927870150E+002, 0.0000000000000000E+000,-3.0936751477639117E+001, 0.0000000000000000E+000
 1.5037627051132867E+002, 9.4484197342524317E+002, 0.0000000000000000E+000,-3.1100972857814394E+001, 0.0000000000000000E+000
 1.5117512614343019E+002, 9.4986133139542108E+002, 0.0000000000000000E+000,-3.1266064712271433E+001, 0.0000000000000000E+000
 1.5197822559883423E+002, 9.5490735409381966E+002, 0.0000000000000000E+000,-3.1432031636805839E+001, 0.0000000000000000E+000
 1.5278559142233547E+002, 9.5998018317356161E+002, 0.0000000000000000E+000,-3.1598878251235305E+001, 0.0000000000000000E+000
 1.5359724627849511E+002, 9.6507996104028484E+002, 0.0000000000000000E+000,-3.1766609199525433E+001, 0.0000000000000000E+000
 1.5441321295227704E+002, 9.7020683085613962E+002, 0.0000000000000000E+000,-3.1935229149910775E+001, 0.0000000000000000E+000
 1.5523351434968751E+002, 9.7536093654380807E+002, 0.0000000000000000E+000,-3.2104742795020073E+001, 0.0000000000000000E+000
 1.5605817349841814E+002, 9.8054242279054358E+002, 0.0000000000000000E+000,-3.2275154852000242E+001, 0.0000000000000000E+000
 1.5688721354849238E+002, 9.8575143505223343E+002, 0.0000000000000000E+000,-3.2446470062645375E+001, 0.0000000000000000E+000
 1.5772065777291530E+002, 9.9098811955748124E+002, 0.0000000000000000E+000,-3.2618693193518318E+001, 0.0000000000000000E+000
 1.5855852956832706E+002, 9.9625262331171257E+002, 0.0000000000000000E+000,-3.2791829036080173E+001, 0.0000000000000000E+000
 1.5940085245565956E+002, 1.0015450941013012E+003, 0.0000000000000000E+000,-3.2965882406818132E+001, 0.0000000000000000E+000
 1.6024765008079680E+002, 1.0068656804977181E+003, 0.0000000000000000E+000,-3.3140858147372754E+001, 0.0000000000000000E+000
 1.6109894621523867E+002, 1.0122145318617020E+003, 0.0000000000000000E+000,-3.3316761124666314E+001, 0.0000000000000000E+000
 1.6195476475676824E+002, 1.0175917983474525E+003, 0.0000000000000000E+000,-3.3493596231033486E+001, 0.0000000000000000E+000
 1.6281512973012269E+002, 1.0229976309068451E+003, 0.0000000000000000E+000,-3.3671368384350956E+001, 0.0000000000000000E+000
 1.6368006528766765E+002, 1.0284321812936687E+003, 0.0000000000000000E+000,-3.3850082528167583E+001, 0.0000000000000000E+000
 1.6454959571007527E+002, 1.0338956020678859E+003, 0.0000000000000000E+000,-3.4029743631838500E+001, 0.0000000000000000E+000
 1.6542374540700581E+002, 1.0393880465999155E+003, 0.0000000000000000E+000,-3.4210356690652610E+001, 0.0000000000000000E+000
 1.6630253891779287E+002, 1.0449096690749375E+003, 0.0000000000000000E+000,-3.4391926725970620E+001, 0.0000000000000000E+000
 1.6718600091213227E+002, 1.0504606244972224E+003, 0.0000000000000000E+000,-3.4574458785355638E+001, 0.0000000000000000E+000
 1.6807415619077463E+002, 1.0560410686944820E+003, 0.0000000000000000E+000,-3.4757957942707627E+001, 0.0000000000000000E+000
 1.6896702968622148E+002, 1.0616511583222439E+003, 0.0000000000000000E+000,-3.4942429298399645E+001, 0.0000000000000000E+000
 1.6986464646342526E+002, 1.0672910508682485E+003, 0.0000000000000000E+000,-3.5127877979412247E+001, 0.0000000000000000E+000
 1.7076703172049292E+002, 1.0729609046568714E+003, 0.0000000000000000E+000,-3.5314309139470737E+001, 0.0000000000000000E+000
 1.7167421078939327E+002, 1.0786608788535671E+003, 0.0000000000000000E+000,-3.5501727959182297E+001, 0.0000000000000000E+000
 1.7258620913666815E+002, 1.0843911334693366E+003, 0.0000000000000000E+000,-3.5690139646172362E+001, 0.0000000000000000E+000
 1.7350305236414727E+002, 1.0901518293652205E+003, 0.0000000000000000E+000,-3.5879549435225705E+001, 0.0000000000000000E+000
 1.7442476620966696E+002, 1.0959431282568137E+003, 0.0000000000000000E+000,-3.6069962588423905E+001, 0.0000000000000000E+000
 1.7535137654779265E+002, 1.1017651927188058E+003, 0.0000000000000000E+000,-3.6261384395285987E+001, 0.0000000000000000E+000
 1.7628290939054529E+002, 1.1076181861895445E+003, 0.0000000000000000E+000,-3.6453820172908991E+001, 0.0000000000000000E+000
 1.7721939088813150E+002, 1.1135022729756238E+003, 0.0000000000000000E+000,-3.6647275266109517E+001, 0.0000000000000000E+000
 1.7816084732967769E+002, 1.1194176182564963E+003, 0.0000000000000000E+000,-3.6841755047567290E+001, 0.0000000000000000E+000
 1.7910730514396809E+002, 1.1253643880891111E+003, 0.0000000000000000E+000,-3.7037264917966759E+001, 0.0000000000000000E+000
 1.8005879090018655E+002, 1.1313427494125735E+003, 0.0000000000000000E+000,-3.7233810306140519E+001, 0.0000000000000000E+000
 1.8101533130866255E+002, 1.1373528700528334E+003, 0.0000000000000000E+000,-3.7431396669216483E+001, 0.0000000000000000E+000
 1.8197695322162090E+002, 1.1433949187273954E+003, 0.0000000000000000E+000,-3.7630029492760855E+001, 0.0000000000000000E+000
 1.8294368363393562E+002, 1.1494690650500547E+003, 0.0000000000000000E+000,-3.7829714290924834E+001, 0.0000000000000000E+000
 1.8391554968388769E+002, 1.1555754795356604E+003, 0.0000000000000000E+000,-3.8030456606593077E+001, 0.0000000000000000E+000
 1.8489257865392690E+002, 1.1617143336048996E+003, 0.0000000000000000E+000,-3.8232262011529926E+001, 0.0000000000000000E+000
 1.8587479797143774E+002, 1.1678857995891117E+003, 0.0000000000000000E+000,-3.8435136106528830E+001, 0.0000000000000000E+000
 1.8686223520950935E+002, 1.1740900507351250E+003, 0.0000000000000000E+000,-3.8639084521561564E+001, 0.0000000000000000E+000
 1.8785491808770954E+002, 1.1803272612101212E+003, 0.0000000000000000E+000,-3.8844112915928832E+001, 0.0000000000000000E+000
 1.8885287447286294E+002, 1.1865976061065232E+003, 0.0000000000000000E+000,-3.9050226978411551E+001, 0.0000000000000000E+000
 1.8985613237983333E+002, 1.1929012614469113E+003, 0.0000000000000000E+000,-3.9257432427421961E+001, 0.0000000000000000E+000
 1.9086471997231001E+002, 1.1992384041889643E+003, 0.0000000000000000E+000,-3.9465735011156724E+001, 0.0000000000000000E+000
 1.9187866556359845E+002, 1.2056092122304274E+003, 0.0000000000000000E+000,-3.9675140507753135E+001, 0.0000000000000000E+000
 1.9289799761741511E+002, 1.2120138644141055E+003, 0.0000000000000000E+000,-3.9885654725439196E+001, 0.0000000000000000E+000
 1.9392274474868654E+002, 1.2184525405328845E+003, 0.0000000000000000E+000,-4.0097283502692996E+001, 0.0000000000000000E+000
 1.9495293572435250E+002, 1.2249254213347779E+003, 0.0000000000000000E+000,-4.0310032708397053E+001, 0.0000000000000000E+000
 1.9598859946417369E+002, 1.2314326885280011E+003, 0.0000000000000000E+000,-4.0523908241996168E+001, 0.0000000000000000E+000
 1.9702976504154350E+002, 1.2379745247860722E+003, 0.0000000000000000E+000,-4.0738916033655990E+001, 0.0000000000000000E+000
 1.9807646168430415E+002, 1.2445511137529402E+003, 0.0000000000000000E+000,-4.0955062044421524E+001, 0.0000000000000000E+000
 1.9912871877556728E+002, 1.2511626400481402E+003, 0.0000000000000000E+000,-4.1172352266376663E+001, 0.0000000000000000E+000
 2.0018656585453869E+002, 1.2578092892719760E+003, 0.0000000000000000E+000,-4.1390792722807468E+001, 0.0000000000000000E+000
 2.0125003261734759E+002, 1.2644912480107309E+003, 0.0000000000000000E+000,-4.1610389468360694E+001, 0.0000000000000000E+000
