
Label=gain_vs_2_pi_freq
LabelX=2*PI*F
LabelY=dB(v(V_out))
Data Point Count=1001
F,2*PI*F,2*PI*F,dB(v(V_out)),dB(v(V_out))
 2.2374665911265413E+002, 1.4058417210671480E+003, 0.0000000000000000E+000,-9.4359083336176541E-002, 0.0000000000000000E+000
 2.2493528600297574E+002, 1.4133100840801353E+003, 0.0000000000000000E+000,-9.5331237475787728E-002, 0.0000000000000000E+000
 2.2613022732896312E+002, 1.4208181218625207E+003, 0.0000000000000000E+000,-9.6313162338159453E-002, 0.0000000000000000E+000
 2.2733151663528707E+002, 1.4283660451816875E+003, 0.0000000000000000E+000,-9.7304949881114516E-002, 0.0000000000000000E+000
 2.2853918764482046E+002, 1.4359540659246943E+003, 0.0000000000000000E+000,-9.8306692794928721E-002, 0.0000000000000000E+000
 2.2975327425958471E+002, 1.4435823971042246E+003, 0.0000000000000000E+000,-9.9318484505689364E-002, 0.0000000000000000E+000
 2.3097381056170167E+002, 1.4512512528645650E+003, 0.0000000000000000E+000,-1.0034041917795285E-001, 0.0000000000000000E+000
 2.3220083081435027E+002, 1.4589608484876185E+003, 0.0000000000000000E+000,-1.0137259171752926E-001, 0.0000000000000000E+000
 2.3343436946272845E+002, 1.4667114003989466E+003, 0.0000000000000000E+000,-1.0241509777423574E-001, 0.0000000000000000E+000
 2.3467446113502007E+002, 1.4745031261738450E+003, 0.0000000000000000E+000,-1.0346803374490816E-001, 0.0000000000000000E+000
 2.3592114064336695E+002, 1.4823362445434520E+003, 0.0000000000000000E+000,-1.0453149677522675E-001, 0.0000000000000000E+000
 2.3717444298484622E+002, 1.4902109754008882E+003, 0.0000000000000000E+000,-1.0560558476323408E-001, 0.0000000000000000E+000
 2.3843440334245273E+002, 1.4981275398074301E+003, 0.0000000000000000E+000,-1.0669039636050598E-001, 0.0000000000000000E+000
 2.3970105708608665E+002, 1.5060861599987149E+003, 0.0000000000000000E+000,-1.0778603097577019E-001, 0.0000000000000000E+000
 2.4097443977354652E+002, 1.5140870593909797E+003, 0.0000000000000000E+000,-1.0889258877648161E-001, 0.0000000000000000E+000
 2.4225458715152732E+002, 1.5221304625873331E+003, 0.0000000000000000E+000,-1.1001017069116517E-001, 0.0000000000000000E+000
 2.4354153515662395E+002, 1.5302165953840602E+003, 0.0000000000000000E+000,-1.1113887841156937E-001, 0.0000000000000000E+000
 2.4483531991634015E+002, 1.5383456847769619E+003, 0.0000000000000000E+000,-1.1227881439438042E-001, 0.0000000000000000E+000
 2.4613597775010263E+002, 1.5465179589677264E+003, 0.0000000000000000E+000,-1.1343008186403553E-001, 0.0000000000000000E+000
 2.4744354517028060E+002, 1.5547336473703353E+003, 0.0000000000000000E+000,-1.1459278481339304E-001, 0.0000000000000000E+000
 2.4875805888321082E+002, 1.5629929806175046E+003, 0.0000000000000000E+000,-1.1576702800600311E-001, 0.0000000000000000E+000
 2.5007955579022797E+002, 1.5712961905671580E+003, 0.0000000000000000E+000,-1.1695291697817682E-001, 0.0000000000000000E+000
 2.5140807298870058E+002, 1.5796435103089366E+003, 0.0000000000000000E+000,-1.1815055803966801E-001, 0.0000000000000000E+000
 2.5274364777307244E+002, 1.5880351741707414E+003, 0.0000000000000000E+000,-1.1936005827574037E-001, 0.0000000000000000E+000
 2.5408631763590955E+002, 1.5964714177253122E+003, 0.0000000000000000E+000,-1.2058152554836296E-001, 0.0000000000000000E+000
 2.5543612026895258E+002, 1.6049524777968406E+003, 0.0000000000000000E+000,-1.2181506849693728E-001, 0.0000000000000000E+000
 2.5679309356417497E+002, 1.6134785924676169E+003, 0.0000000000000000E+000,-1.2306079654008267E-001, 0.0000000000000000E+000
 2.5815727561484670E+002, 1.6220500010847156E+003, 0.0000000000000000E+000,-1.2431881987598496E-001, 0.0000000000000000E+000
 2.5952870471660361E+002, 1.6306669442667132E+003, 0.0000000000000000E+000,-1.2558924948400377E-001, 0.0000000000000000E+000
 2.6090741936852237E+002, 1.6393296639104424E+003, 0.0000000000000000E+000,-1.2687219712423117E-001, 0.0000000000000000E+000
 2.6229345827420138E+002, 1.6480384031977840E+003, 0.0000000000000000E+000,-1.2816777533914270E-001, 0.0000000000000000E+000
 2.6368686034284724E+002, 1.6567934066024932E+003, 0.0000000000000000E+000,-1.2947609745355357E-001, 0.0000000000000000E+000
 2.6508766469036681E+002, 1.6655949198970616E+003, 0.0000000000000000E+000,-1.3079727757500606E-001, 0.0000000000000000E+000
 2.6649591064046558E+002, 1.6744431901596172E+003, 0.0000000000000000E+000,-1.3213143059372293E-001, 0.0000000000000000E+000
 2.6791163772575140E+002, 1.6833384657808613E+003, 0.0000000000000000E+000,-1.3347867218322562E-001, 0.0000000000000000E+000
 2.6933488568884434E+002, 1.6922809964710402E+003, 0.0000000000000000E+000,-1.3483911879935914E-001, 0.0000000000000000E+000
 2.7076569448349221E+002, 1.7012710332669551E+003, 0.0000000000000000E+000,-1.3621288768075790E-001, 0.0000000000000000E+000
